n,Time(ns)
100,9467300
200,16487900
300,14676500
400,18015900
500,25031200
600,30595200
700,32364000
800,38577200
900,45771700
1000,51620100
1100,52027500
1200,59645000
1300,68396700
1400,73855700
1500,78046500
1600,82556900
1700,84526800
1800,86395900
1900,89185000
2000,93101600
2100,100445400
2200,97316100
2300,97400900
2400,99956700
2500,97751000
2600,104983300
2700,119909900
2800,114413700
2900,117548300
3000,123867600
3100,122722800
3200,118494200
3300,124662400
3400,107989500
3500,112057000
3600,137751700
3700,125317900
3800,126406100
3900,123766500
4000,121262900
4100,133220600
4200,127528400
4300,132510800
4400,128508800
4500,139264300
4600,173057700
4700,136758400
4800,136458600
4900,166573900
5000,172216000
5100,291091600
5200,158084100
5300,150083500
5400,153064900
5500,151906500
5600,154295900
5700,158370900
5800,172072200
5900,160170100
6000,164709900
6100,196060700
6200,184821500
6300,192024700
6400,203035100
6500,203930300
6600,240058400
6700,221548200
6800,252481300
6900,200956000
7000,214526700
7100,207717900
7200,210209300
7300,199054500
7400,198577600
7500,220500900
7600,190087400
7700,195599200
7800,197518000
7900,201635800
8000,234199400
8100,204593700
8200,210401500
8300,242635800
8400,261386200
8500,269405700
8600,273083700
8700,269489800
8800,272140000
8900,255270600
9000,218483900
9100,224491100
9200,216574800
9300,226076900
9400,247342500
9500,318091900
9600,248703700
9700,243727500
9800,246094000
9900,221600100
10000,234309100
10100,237323200
10200,244905000
10300,243162100
10400,245897100
10500,247751100
10600,254266400
10700,254162300
10800,267710900
10900,285573300
11000,291006600
11100,279788900
11200,264752900
11300,265019900
11400,265238600
11500,275685700
11600,322182100
11700,268361800
11800,275404400
11900,274789600
12000,276854400
12100,276020100
12200,276765600
12300,281468500
12400,282084200
12500,286353700
12600,287604000
12700,287798600
12800,291665600
12900,290850400
13000,298004400
13100,302568300
13200,298384100
13300,298432600
13400,306882000
13500,309676400
13600,300854100
13700,305328600
13800,308052200
13900,307370600
14000,310299300
14100,315887100
14200,314761300
14300,315475000
14400,319706900
14500,318053900
14600,323175600
14700,328937000
14800,328324500
14900,330620800
15000,330967900
15100,350295600
15200,334848500
15300,340344900
15400,341755200
15500,340883300
15600,342706500
15700,344019600
15800,365576600
15900,373045000
16000,387299100
16100,405514100
16200,404473500
16300,360012800
16400,361356600
16500,359301000
16600,363041600
16700,365919500
16800,365147000
16900,369880300
17000,371611200
17100,368661300
17200,375346000
17300,377077900
17400,377080200
17500,383917800
17600,400386800
17700,414519500
17800,410923000
17900,407913100
18000,377650400
18100,384116500
18200,389308800
18300,393490400
18400,390208800
18500,391128900
18600,391053900
18700,414553100
18800,421209800
18900,421383200
19000,426337700
19100,420867400
19200,429208000
19300,425550600
19400,424582800
19500,431871400
19600,426717400
